,heur,n_filmes,n_categorias,tempo_ex,n_assistidos,tempo_tela,media
0,aleat,40,1,0.004298613988794386,1,2,2.0
0,aleat,40,2,0.0041722540045157075,2,6,3.0
0,aleat,40,3,0.004239884961862117,5,18,3.6
0,aleat,40,4,0.004309922049287707,7,22,3.14286
0,aleat,40,5,0.0042845350108109415,6,24,4.0
0,aleat,40,6,0.004431882000062615,6,20,3.33333
0,aleat,40,7,0.004320129984989762,5,19,3.8
0,aleat,40,8,0.004248375014867634,5,20,4.0
0,aleat,40,9,0.004098986042663455,5,21,4.2
0,aleat,40,10,0.0042323750094510615,5,19,3.8
0,aleat,40,11,0.0042272559949196875,6,22,3.66667
0,aleat,40,12,0.004934488970320672,6,22,3.66667
0,aleat,40,13,0.004457116941921413,5,21,4.2
0,aleat,40,14,0.004565294017083943,6,21,3.5
0,aleat,40,15,0.00444182101637125,6,20,3.33333
0,aleat,40,16,0.005975200037937611,6,21,3.5
0,aleat,40,17,0.004969859030097723,7,25,3.57143
0,aleat,40,18,0.004756723006721586,6,20,3.33333
0,aleat,40,19,0.00495194602990523,8,22,2.75
0,aleat,40,20,0.004595277016051114,6,21,3.5
0,aleat,45,1,0.004273304948583245,1,4,4.0
0,aleat,45,2,0.004168420971836895,3,9,3.0
0,aleat,45,3,0.004344514978583902,7,23,3.28571
0,aleat,45,4,0.0042047680472023785,6,20,3.33333
0,aleat,45,5,0.004086418019142002,6,19,3.16667
0,aleat,45,6,0.0040898220031522214,6,18,3.0
0,aleat,45,7,0.004497100017033517,5,21,4.2
0,aleat,45,8,0.004273247963283211,6,20,3.33333
0,aleat,45,9,0.0046387280453927815,5,18,3.6
0,aleat,45,10,0.004236462991684675,6,19,3.16667
0,aleat,45,11,0.004140551027376205,6,22,3.66667
0,aleat,45,12,0.005616312031634152,6,25,4.16667
0,aleat,45,13,0.00440185604384169,6,21,3.5
0,aleat,45,14,0.004189861996565014,5,18,3.6
0,aleat,45,15,0.004085708002094179,6,21,3.5
0,aleat,45,16,0.004219847964122891,7,20,2.85714
0,aleat,45,17,0.004637881997041404,6,21,3.5
0,aleat,45,18,0.004317249986343086,6,16,2.66667
0,aleat,45,19,0.004532240971457213,6,20,3.33333
0,aleat,45,20,0.004638258018530905,8,25,3.125
0,aleat,50,1,0.0046877129934728146,1,3,3.0
0,aleat,50,2,0.004323541012126952,4,12,3.0
0,aleat,50,3,0.004630450042895973,5,17,3.4
0,aleat,50,4,0.00440581701695919,5,16,3.2
0,aleat,50,5,0.004390920978039503,7,23,3.28571
0,aleat,50,6,0.004184088029433042,6,24,4.0
0,aleat,50,7,0.0046123769716359675,5,21,4.2
0,aleat,50,8,0.0053870430565439165,6,22,3.66667
0,aleat,50,9,0.004703801998402923,4,15,3.75
0,aleat,50,10,0.004430203000083566,6,17,2.83333
0,aleat,50,11,0.004433844005689025,5,19,3.8
0,aleat,50,12,0.004359850019682199,6,16,2.66667
0,aleat,50,13,0.004342508967965841,7,22,3.14286
0,aleat,50,14,0.004311049997340888,8,25,3.125
0,aleat,50,15,0.004459636984393001,7,19,2.71429
0,aleat,50,16,0.004466484999284148,5,21,4.2
0,aleat,50,17,0.00439350598026067,7,21,3.0
0,aleat,50,18,0.004292879020795226,7,23,3.28571
0,aleat,50,19,0.004404250008519739,7,23,3.28571
0,aleat,50,20,0.004148552019614726,7,24,3.42857
0,aleat,55,1,0.004405307990964502,1,3,3.0
0,aleat,55,2,0.004546157026197761,2,8,4.0
0,aleat,55,3,0.004419788951054215,5,17,3.4
0,aleat,55,4,0.004457828006707132,5,19,3.8
0,aleat,55,5,0.0045248689712025225,7,27,3.85714
0,aleat,55,6,0.004317581013310701,7,22,3.14286
0,aleat,55,7,0.004110543988645077,5,20,4.0
0,aleat,55,8,0.004375320975668728,7,21,3.0
0,aleat,55,9,0.004386782005894929,6,23,3.83333
0,aleat,55,10,0.00424045097315684,5,19,3.8
0,aleat,55,11,0.004514962958637625,6,23,3.83333
0,aleat,55,12,0.004179281007964164,6,21,3.5
0,aleat,55,13,0.004175886977463961,6,22,3.66667
0,aleat,55,14,0.004690419998951256,7,24,3.42857
0,aleat,55,15,0.004294279031455517,6,16,2.66667
0,aleat,55,16,0.004350747971329838,8,21,2.625
0,aleat,55,17,0.004247538046911359,6,20,3.33333
0,aleat,55,18,0.004275738960132003,8,22,2.75
0,aleat,55,19,0.0042398779769428074,7,20,2.85714
0,aleat,55,20,0.004569656972307712,7,23,3.28571
0,aleat,60,1,0.004468289029318839,1,3,3.0
0,aleat,60,2,0.004128792032133788,3,6,2.0
0,aleat,60,3,0.004153731046244502,5,20,4.0
0,aleat,60,4,0.0045359350042417645,7,24,3.42857
0,aleat,60,5,0.004350406990852207,6,20,3.33333
0,aleat,60,6,0.0043749219621531665,5,22,4.4
0,aleat,60,7,0.004568433971144259,8,18,2.25
0,aleat,60,8,0.004574446997139603,9,25,2.77778
